Name,Setter,Ascensionist Count,Angle,V Grade,Holds
The Old Heave Ho,kilterjackie,133,40,4,"[[(120, 64), 'Feet'], [(72, 80), 'Starting'], [(88, 80), 'Starting'], [(104, 96), 'Hand'], [(96, 104), 'Hand'], [(112, 128), 'Hand'], [(104, 144), 'Hand'], [(104, 152), 'Finish'], [(100, 52), 'Feet']]"
Final Surprise,sandbagman,51,40,8,"[[(32, 56), 'Starting'], [(40, 64), 'Feet'], [(48, 80), 'Hand'], [(88, 96), 'Hand'], [(128, 104), 'Hand'], [(96, 112), 'Hand'], [(136, 136), 'Hand'], [(136, 152), 'Finish'], [(44, 28), 'Feet'], [(4, 36), 'Feet'], [(84, 52), 'Feet'], [(132, 52), 'Feet']]"
High Jump,Hiro10,60,15,6,"[[(80, 64), 'Starting'], [(120, 88), 'Starting'], [(56, 104), 'Hand'], [(96, 104), 'Hand'], [(64, 120), 'Hand'], [(32, 144), 'Finish'], [(140, 60), 'Feet']]"
GMC General Motors company,amckeska,197,30,5,"[[(80, 8), 'Feet'], [(64, 8), 'Feet'], [(72, 40), 'Starting'], [(88, 72), 'Hand'], [(72, 96), 'Hand'], [(88, 120), 'Hand'], [(64, 136), 'Hand'], [(56, 152), 'Finish'], [(100, 36), 'Feet'], [(68, 52), 'Feet'], [(116, 52), 'Feet'], [(76, 60), 'Feet'], [(100, 84), 'Feet'], [(52, 100), 'Feet']]"
🍑💨💨💨,BKBChicago,90,15,4,"[[(24, 16), 'Feet'], [(16, 40), 'Feet'], [(72, 48), 'Feet'], [(32, 64), 'Starting'], [(72, 64), 'Feet'], [(56, 80), 'Hand'], [(72, 96), 'Hand'], [(72, 120), 'Hand'], [(56, 144), 'Finish']]"
Taylor’s 5’3 lock offs,jonbrunXVX,46,20,2,"[[(96, 40), 'Feet'], [(72, 48), 'Starting'], [(48, 72), 'Hand'], [(80, 88), 'Hand'], [(80, 96), 'Hand'], [(80, 104), 'Hand'], [(56, 128), 'Hand'], [(72, 152), 'Finish'], [(60, 4), 'Feet']]"
warm meh 2,KilterStudio,126,0,0,"[[(64, 16), 'Feet'], [(56, 32), 'Feet'], [(48, 48), 'Starting'], [(72, 48), 'Starting'], [(56, 56), 'Feet'], [(40, 72), 'Feet'], [(64, 72), 'Hand'], [(40, 88), 'Hand'], [(56, 112), 'Hand'], [(32, 128), 'Hand'], [(48, 152), 'Finish'], [(68, 4), 'Feet'], [(36, 20), 'Feet']]"
La gloriosa,sharma,70,40,5,"[[(56, 8), 'Feet'], [(72, 32), 'Starting'], [(80, 32), 'Feet'], [(96, 32), 'Starting'], [(104, 56), 'Hand'], [(64, 64), 'Hand'], [(40, 96), 'Hand'], [(80, 96), 'Hand'], [(56, 136), 'Finish'], [(84, 4), 'Feet'], [(44, 28), 'Feet'], [(36, 52), 'Feet']]"
Shoulders,ethang,41,20,6,"[[(96, 32), 'Starting'], [(80, 64), 'Hand'], [(96, 88), 'Hand'], [(48, 96), 'Hand'], [(64, 136), 'Hand'], [(32, 152), 'Finish'], [(84, 4), 'Feet'], [(84, 52), 'Feet']]"
mr. blue sky,pinkpjs,56,10,0,"[[(72, 40), 'Starting'], [(56, 64), 'Hand'], [(88, 80), 'Hand'], [(56, 96), 'Hand'], [(72, 112), 'Hand'], [(72, 136), 'Finish'], [(76, 4), 'Feet'], [(52, 4), 'Feet'], [(68, 36), 'Feet']]"
babo hyenwoo,donghyuk2008,164,20,2,"[[(56, 24), 'Feet'], [(72, 48), 'Starting'], [(64, 64), 'Hand'], [(72, 88), 'Hand'], [(80, 88), 'Hand'], [(80, 112), 'Hand'], [(72, 128), 'Hand'], [(96, 144), 'Hand'], [(96, 152), 'Finish']]"
not as hard as we miss the woodie,claudia,258,15,4,"[[(32, 8), 'Hand'], [(32, 32), 'Starting'], [(56, 56), 'Hand'], [(64, 72), 'Hand'], [(24, 80), 'Hand'], [(72, 104), 'Hand'], [(40, 128), 'Hand'], [(64, 152), 'Finish']]"
Spartan Heat,Thenickoftime,120,15,2,"[[(112, 8), 'Feet'], [(96, 32), 'Starting'], [(80, 40), 'Starting'], [(96, 56), 'Hand'], [(72, 80), 'Hand'], [(80, 88), 'Hand'], [(72, 112), 'Hand'], [(40, 120), 'Hand'], [(48, 152), 'Finish'], [(116, 4), 'Feet'], [(84, 4), 'Feet'], [(76, 28), 'Feet'], [(52, 84), 'Feet']]"
broken lights,braeden.f,87,25,5,"[[(104, 8), 'Feet'], [(112, 56), 'Starting'], [(80, 80), 'Hand'], [(80, 96), 'Hand'], [(48, 120), 'Hand'], [(64, 152), 'Finish'], [(108, 28), 'Feet'], [(92, 44), 'Starting']]"
C6,juligris,57,20,0,"[[(80, 32), 'Feet'], [(56, 48), 'Starting'], [(80, 48), 'Starting'], [(96, 48), 'Feet'], [(64, 80), 'Hand'], [(56, 88), 'Hand'], [(72, 96), 'Hand'], [(48, 112), 'Hand'], [(48, 128), 'Hand'], [(32, 144), 'Hand'], [(16, 152), 'Finish'], [(76, 4), 'Feet'], [(60, 4), 'Feet'], [(76, 44), 'Feet'], [(52, 52), 'Feet'], [(44, 60), 'Feet'], [(36, 68), 'Feet'], [(28, 76), 'Feet'], [(20, 84), 'Feet'], [(12, 92), 'Feet'], [(4, 100), 'Feet'], [(20, 100), 'Feet'], [(12, 108), 'Feet']]"
Dura,adriankask,129,30,8,"[[(88, 8), 'Feet'], [(56, 8), 'Feet'], [(72, 40), 'Starting'], [(64, 72), 'Hand'], [(96, 88), 'Hand'], [(56, 104), 'Hand'], [(80, 120), 'Hand'], [(40, 128), 'Hand'], [(32, 152), 'Finish'], [(100, 52), 'Feet'], [(44, 92), 'Feet'], [(36, 100), 'Feet']]"
bph66,brianharrington,44,70,8,"[[(120, 16), 'Feet'], [(120, 40), 'Starting'], [(136, 40), 'Feet'], [(136, 64), 'Feet'], [(112, 80), 'Hand'], [(40, 96), 'Hand'], [(88, 96), 'Feet'], [(120, 96), 'Hand'], [(56, 104), 'Hand'], [(64, 104), 'Feet'], [(8, 112), 'Feet'], [(88, 112), 'Hand'], [(112, 120), 'Hand'], [(64, 128), 'Hand'], [(104, 128), 'Feet'], [(32, 136), 'Hand'], [(16, 152), 'Finish']]"
Will's Will 2,Manny,53,40,7,"[[(88, 32), 'Starting'], [(112, 32), 'Feet'], [(96, 64), 'Hand'], [(64, 72), 'Hand'], [(40, 80), 'Hand'], [(56, 80), 'Hand'], [(72, 104), 'Hand'], [(32, 120), 'Hand'], [(64, 120), 'Hand'], [(40, 152), 'Finish'], [(56, 152), 'Finish'], [(100, 4), 'Feet'], [(68, 4), 'Feet'], [(92, 28), 'Feet'], [(28, 44), 'Feet'], [(92, 44), 'Feet'], [(52, 68), 'Feet']]"
la bibeau v0,kagala1,45,0,0,"[[(8, 16), 'Feet'], [(24, 16), 'Feet'], [(8, 40), 'Feet'], [(32, 48), 'Starting'], [(8, 64), 'Starting'], [(32, 72), 'Hand'], [(16, 80), 'Hand'], [(8, 88), 'Hand'], [(32, 88), 'Hand'], [(32, 104), 'Hand'], [(8, 112), 'Hand'], [(32, 128), 'Hand'], [(24, 136), 'Hand'], [(24, 152), 'Finish'], [(32, 152), 'Finish']]"
Pizza Delivery Man,Eaidlin,215,30,3,"[[(24, 16), 'Feet'], [(24, 40), 'Starting'], [(8, 64), 'Starting'], [(32, 88), 'Hand'], [(24, 112), 'Hand'], [(56, 112), 'Hand'], [(48, 136), 'Hand'], [(72, 152), 'Finish']]"
Alamo Beer,dad,41,20,8,"[[(96, 56), 'Starting'], [(40, 64), 'Starting'], [(24, 104), 'Hand'], [(48, 104), 'Hand'], [(64, 120), 'Hand'], [(72, 152), 'Finish'], [(76, 4), 'Feet'], [(92, 28), 'Feet'], [(20, 52), 'Feet'], [(36, 68), 'Feet']]"
Some Pretty Big Moves,will_avelar,76,15,3,"[[(64, 16), 'Feet'], [(32, 48), 'Starting'], [(56, 56), 'Starting'], [(48, 72), 'Hand'], [(48, 88), 'Hand'], [(80, 112), 'Hand'], [(88, 120), 'Hand'], [(112, 144), 'Hand'], [(96, 152), 'Finish'], [(68, 36), 'Feet'], [(76, 76), 'Feet'], [(84, 84), 'Feet']]"
Sink Whole,dfried,134,15,3,"[[(96, 8), 'Feet'], [(80, 8), 'Feet'], [(64, 8), 'Feet'], [(88, 32), 'Starting'], [(112, 32), 'Starting'], [(56, 56), 'Feet'], [(64, 64), 'Hand'], [(96, 64), 'Hand'], [(88, 72), 'Hand'], [(80, 88), 'Feet'], [(80, 104), 'Hand'], [(80, 112), 'Hand'], [(64, 128), 'Hand'], [(64, 144), 'Hand'], [(48, 152), 'Finish']]"
So Tired,brennanroa,63,40,3,"[[(40, 32), 'Starting'], [(56, 64), 'Hand'], [(72, 88), 'Hand'], [(72, 112), 'Hand'], [(96, 136), 'Hand'], [(56, 152), 'Finish'], [(28, 4), 'Feet'], [(68, 36), 'Feet'], [(108, 108), 'Feet']]"
Fu Manchu,JacksonK3oni,51,50,5,"[[(8, 24), 'Starting'], [(24, 40), 'Starting'], [(16, 80), 'Hand'], [(104, 88), 'Feet'], [(32, 104), 'Hand'], [(40, 104), 'Hand'], [(72, 112), 'Hand'], [(104, 128), 'Hand'], [(72, 136), 'Hand'], [(120, 136), 'Hand'], [(136, 152), 'Finish'], [(20, 4), 'Feet'], [(12, 60), 'Feet']]"
Easy Domination,Wafflechicken,54,20,0,"[[(56, 32), 'Feet'], [(80, 40), 'Feet'], [(48, 64), 'Feet'], [(72, 64), 'Feet'], [(72, 80), 'Starting'], [(88, 80), 'Starting'], [(64, 96), 'Hand'], [(72, 112), 'Hand'], [(56, 128), 'Hand'], [(72, 136), 'Hand'], [(72, 152), 'Finish'], [(84, 20), 'Feet']]"
Old Town Road,importedbean,96,0,4,"[[(24, 24), 'Starting'], [(8, 48), 'Hand'], [(40, 56), 'Hand'], [(16, 88), 'Hand'], [(40, 120), 'Hand'], [(40, 128), 'Hand'], [(80, 128), 'Hand'], [(88, 128), 'Hand'], [(112, 144), 'Hand'], [(128, 152), 'Finish'], [(52, 4), 'Feet'], [(4, 4), 'Feet'], [(36, 20), 'Feet'], [(20, 68), 'Feet'], [(4, 84), 'Feet'], [(4, 100), 'Feet'], [(100, 100), 'Feet'], [(4, 116), 'Feet']]"
Welcome Höme,brennanroa,45,40,5,"[[(64, 24), 'Starting'], [(48, 56), 'Hand'], [(64, 88), 'Hand'], [(64, 112), 'Hand'], [(56, 136), 'Hand'], [(40, 152), 'Finish'], [(44, 4), 'Feet'], [(52, 20), 'Feet'], [(68, 68), 'Feet']]"
Lack of Faith,KilterStudio,548,0,1,"[[(32, 16), 'Feet'], [(48, 40), 'Starting'], [(48, 48), 'Starting'], [(96, 72), 'Feet'], [(48, 80), 'Hand'], [(112, 80), 'Feet'], [(80, 96), 'Hand'], [(80, 112), 'Hand'], [(88, 112), 'Hand'], [(72, 144), 'Hand'], [(88, 152), 'Finish']]"
Animal Crackers,jrcorrea,72,35,6,"[[(72, 8), 'Feet'], [(8, 40), '20'], [(112, 40), 'Feet'], [(40, 56), 'Hand'], [(88, 56), 'Hand'], [(80, 96), 'Feet'], [(88, 96), 'Hand'], [(120, 104), 'Hand'], [(120, 136), 'Hand'], [(136, 136), 'Hand'], [(128, 152), 'Finish'], [(44, 4), 'Feet'], [(28, 4), 'Feet'], [(20, 4), 'Feet'], [(100, 20), 'Feet'], [(68, 36), 'Feet'], [(60, 60), '21']]"
Step it up,danngonz3,132,20,6,"[[(56, 40), 'Starting'], [(88, 48), 'Starting'], [(32, 80), 'Feet'], [(56, 88), 'Hand'], [(48, 120), 'Hand'], [(72, 152), 'Finish'], [(60, 4), 'Feet'], [(44, 4), 'Feet']]"
Flying Pig🐷,BradWilkie,549,0,0,"[[(48, 8), 'Feet'], [(64, 32), 'Feet'], [(32, 56), 'Feet'], [(48, 64), 'Starting'], [(56, 64), 'Starting'], [(80, 72), 'Feet'], [(96, 80), 'Feet'], [(48, 88), 'Feet'], [(56, 88), 'Hand'], [(48, 104), 'Hand'], [(56, 112), 'Feet'], [(72, 112), 'Hand'], [(72, 136), 'Hand'], [(80, 152), 'Finish'], [(88, 152), 'Finish']]"
big nasty,bfilly,99,0,3,"[[(32, 8), 'Feet'], [(80, 32), 'Feet'], [(32, 40), 'Starting'], [(56, 56), 'Starting'], [(40, 80), 'Hand'], [(56, 112), 'Hand'], [(56, 144), 'Hand'], [(88, 152), 'Finish'], [(68, 84), 'Feet']]"
A Few Fun Moves Sit,jayperry,77,40,3,"[[(32, 8), 'Feet'], [(48, 48), 'Starting'], [(40, 56), 'Starting'], [(72, 56), 'Feet'], [(56, 72), 'Feet'], [(64, 80), 'Hand'], [(40, 88), 'Hand'], [(56, 112), 'Hand'], [(32, 128), 'Hand'], [(24, 136), 'Hand'], [(16, 152), 'Finish'], [(52, 36), 'Feet']]"
dddd11,ddddunkin,65,30,5,"[[(32, 8), 'Feet'], [(8, 32), 'Starting'], [(32, 32), 'Starting'], [(16, 56), 'Hand'], [(64, 72), 'Hand'], [(56, 104), 'Hand'], [(88, 104), 'Hand'], [(72, 128), 'Hand'], [(48, 144), 'Finish'], [(36, 4), 'Feet'], [(4, 4), 'Feet'], [(60, 28), 'Feet'], [(52, 36), 'Feet'], [(84, 52), 'Feet'], [(68, 84), 'Feet']]"
Pineapple Monster,ahsu123,61,40,3,"[[(88, 40), 'Starting'], [(88, 48), 'Starting'], [(96, 80), 'Hand'], [(64, 96), 'Hand'], [(56, 112), 'Hand'], [(48, 128), 'Hand'], [(72, 152), 'Finish'], [(100, 4), 'Feet'], [(68, 4), 'Feet'], [(124, 44), 'Feet'], [(76, 60), 'Feet'], [(36, 68), 'Feet'], [(28, 92), 'Feet']]"
End of sesh,isra17,54,10,5,"[[(88, 16), 'Feet'], [(48, 24), 'Starting'], [(72, 32), 'Starting'], [(80, 56), 'Hand'], [(40, 88), 'Feet'], [(96, 88), 'Hand'], [(56, 104), 'Hand'], [(88, 112), 'Hand'], [(40, 128), 'Hand'], [(40, 152), 'Finish'], [(84, 4), 'Feet'], [(44, 4), 'Feet']]"
jayson special,campusescalade,126,25,4,"[[(40, 40), 'Starting'], [(48, 40), 'Starting'], [(72, 80), 'Hand'], [(72, 104), 'Hand'], [(104, 104), 'Hand'], [(64, 112), 'Hand'], [(72, 144), 'Hand'], [(40, 152), 'Finish'], [(36, 4), 'Feet'], [(100, 68), 'Feet']]"
High West Campfire,juligris,63,25,3,"[[(56, 16), 'Feet'], [(80, 40), 'Starting'], [(64, 48), 'Starting'], [(56, 64), 'Hand'], [(56, 80), 'Hand'], [(40, 88), 'Hand'], [(48, 104), 'Hand'], [(40, 120), 'Hand'], [(72, 136), 'Hand'], [(80, 152), 'Finish'], [(96, 152), 'Finish']]"
Slum Bum V,slums_,47,40,3,"[[(104, 40), 'Starting'], [(112, 40), 'Starting'], [(96, 72), 'Hand'], [(120, 88), 'Hand'], [(136, 120), 'Hand'], [(104, 128), 'Hand'], [(128, 152), 'Finish'], [(108, 4), 'Feet'], [(76, 28), 'Feet']]"
Paul's First Schnitzel,ki_rk,47,5,3,"[[(32, 40), 'Starting'], [(48, 48), 'Starting'], [(56, 72), 'Hand'], [(64, 104), 'Hand'], [(72, 136), 'Hand'], [(80, 136), 'Hand'], [(56, 152), 'Finish'], [(64, 152), 'Finish'], [(36, 4), 'Feet'], [(52, 84), 'Feet']]"
buggy’s 1st,beefeater,61,30,1,"[[(40, 16), 'Feet'], [(16, 32), 'Starting'], [(16, 40), 'Starting'], [(8, 56), 'Hand'], [(16, 64), 'Hand'], [(32, 72), 'Hand'], [(24, 88), 'Hand'], [(24, 104), 'Hand'], [(40, 104), 'Hand'], [(32, 128), 'Hand'], [(8, 136), 'Hand'], [(32, 136), 'Hand'], [(16, 152), 'Finish'], [(24, 152), 'Finish'], [(4, 4), 'Feet'], [(36, 52), 'Feet'], [(4, 84), 'Feet'], [(36, 84), 'Feet'], [(12, 108), 'Feet']]"
First time for everything,gmorgan,57,20,3,"[[(72, 40), 'Starting'], [(80, 40), 'Starting'], [(48, 72), 'Hand'], [(80, 96), 'Hand'], [(56, 128), 'Hand'], [(88, 152), 'Finish'], [(84, 4), 'Feet'], [(68, 4), 'Feet'], [(44, 60), 'Feet'], [(76, 76), 'Feet']]"
Blast From The Past,JustinKo,88,20,5,"[[(32, 32), 'Starting'], [(64, 48), 'Hand'], [(80, 64), 'Feet'], [(80, 72), 'Hand'], [(112, 72), 'Hand'], [(112, 112), 'Hand'], [(96, 128), 'Hand'], [(96, 144), 'Hand'], [(64, 152), 'Finish'], [(44, 4), 'Feet'], [(44, 28), 'Starting'], [(76, 28), 'Feet'], [(116, 100), 'Feet'], [(44, 124), 'Feet']]"
Don't wanna fall asleep,ksmd,294,0,3,"[[(56, 24), 'Feet'], [(48, 48), 'Starting'], [(32, 64), 'Starting'], [(40, 96), 'Hand'], [(40, 104), 'Hand'], [(104, 104), 'Feet'], [(56, 128), 'Hand'], [(64, 128), 'Hand'], [(88, 152), 'Finish']]"
👌👌👌,BKBChicago,320,25,3,"[[(136, 32), 'Starting'], [(112, 40), 'Starting'], [(104, 64), 'Hand'], [(128, 88), 'Hand'], [(96, 112), 'Hand'], [(120, 120), 'Hand'], [(96, 144), 'Hand'], [(104, 152), 'Finish'], [(124, 4), 'Feet'], [(108, 76), 'Feet']]"
Blue Collar Tweekers,kentalingus,141,40,8,"[[(120, 40), 'Starting'], [(88, 64), 'Hand'], [(56, 80), 'Hand'], [(48, 120), 'Hand'], [(56, 120), 'Hand'], [(64, 136), 'Hand'], [(80, 152), 'Finish'], [(140, 4), 'Feet'], [(108, 4), 'Feet'], [(84, 4), 'Feet'], [(116, 20), 'Feet'], [(92, 28), 'Feet'], [(44, 44), 'Feet'], [(76, 60), 'Hand'], [(108, 60), 'Hand'], [(76, 76), 'Feet']]"
Step by Step 🪜,Oldmate,74,40,3,"[[(64, 32), 'Feet'], [(72, 40), 'Starting'], [(64, 48), 'Feet'], [(112, 48), 'Feet'], [(88, 56), 'Starting'], [(72, 80), 'Hand'], [(88, 80), 'Hand'], [(112, 80), 'Feet'], [(80, 88), 'Feet'], [(64, 96), 'Feet'], [(96, 104), 'Hand'], [(72, 112), 'Hand'], [(104, 112), 'Feet'], [(88, 128), 'Hand'], [(72, 136), 'Hand'], [(88, 152), 'Finish'], [(92, 4), 'Feet'], [(60, 4), 'Feet'], [(84, 68), 'Feet'], [(84, 100), 'Feet']]"
Get under it and cling,bkbskilterboard,382,30,5,"[[(88, 24), 'Starting'], [(104, 40), 'Starting'], [(72, 48), 'Hand'], [(88, 56), 'Hand'], [(72, 96), 'Hand'], [(64, 104), 'Hand'], [(48, 136), 'Hand'], [(88, 152), 'Finish'], [(116, 4), 'Feet'], [(100, 4), 'Feet'], [(68, 4), 'Feet'], [(84, 68), 'Feet'], [(76, 76), 'Feet']]"
Cinderella Man,Cragregal,84,20,6,"[[(136, 32), 'Starting'], [(120, 48), 'Starting'], [(72, 56), 'Hand'], [(80, 64), 'Hand'], [(40, 80), 'Hand'], [(128, 80), 'Hand'], [(32, 96), 'Hand'], [(32, 120), 'Hand'], [(64, 136), 'Hand'], [(72, 152), 'Finish'], [(140, 4), 'Feet'], [(68, 20), 'Feet'], [(60, 28), 'Feet'], [(76, 28), 'Feet'], [(68, 36), 'Feet'], [(60, 44), 'Feet'], [(12, 60), 'Feet'], [(4, 68), 'Feet'], [(68, 100), 'Feet']]"
crank the yank,GW_Kilter,67,15,4,"[[(88, 48), 'Starting'], [(72, 56), 'Starting'], [(64, 72), 'Hand'], [(96, 88), 'Hand'], [(56, 104), 'Hand'], [(80, 120), 'Hand'], [(56, 144), 'Hand'], [(48, 152), 'Finish'], [(108, 28), 'Feet'], [(100, 36), 'Feet'], [(116, 52), 'Feet'], [(36, 68), 'Feet'], [(52, 68), 'Feet'], [(52, 84), 'Feet'], [(28, 92), 'Feet']]"
start leg high,BrandonShafer,149,15,2,"[[(80, 32), 'Feet'], [(96, 48), 'Starting'], [(128, 48), 'Starting'], [(104, 64), 'Hand'], [(104, 72), 'Hand'], [(96, 96), 'Hand'], [(128, 104), 'Hand'], [(112, 128), 'Hand'], [(104, 136), 'Hand'], [(80, 144), 'Finish']]"
A-Thee A-Thee A-Thee That's All Folks,Manny,640,0,0,"[[(56, 8), 'Feet'], [(32, 40), 'Starting'], [(80, 40), 'Feet'], [(48, 48), 'Starting'], [(32, 64), 'Hand'], [(56, 64), 'Hand'], [(72, 64), 'Hand'], [(48, 80), 'Feet'], [(72, 80), 'Hand'], [(72, 88), 'Feet'], [(48, 104), 'Feet'], [(64, 104), 'Hand'], [(72, 112), 'Hand'], [(56, 120), 'Hand'], [(72, 136), 'Hand'], [(56, 152), 'Finish'], [(72, 152), 'Finish'], [(36, 4), 'Feet']]"
Flying Fingers,NoShirtBennie,42,30,4,"[[(112, 8), 'Feet'], [(80, 8), 'Feet'], [(88, 40), 'Starting'], [(88, 48), 'Starting'], [(80, 72), 'Hand'], [(56, 88), 'Hand'], [(56, 120), 'Hand'], [(56, 128), 'Hand'], [(72, 152), 'Finish'], [(52, 68), 'Feet']]"
Rixty Minutes (Redux),jwilder,321,30,3,"[[(128, 16), 'Feet'], [(104, 24), 'Starting'], [(136, 56), 'Feet'], [(72, 64), 'Feet'], [(128, 64), 'Starting'], [(104, 88), 'Hand'], [(80, 104), 'Hand'], [(120, 104), 'Hand'], [(88, 112), 'Hand'], [(56, 128), 'Hand'], [(88, 152), 'Finish'], [(108, 28), 'Feet']]"
Miler’s v3,ZingerIsHere,72,15,2,"[[(136, 40), 'Starting'], [(112, 48), 'Starting'], [(136, 64), 'Feet'], [(128, 72), 'Hand'], [(72, 80), 'Feet'], [(88, 80), 'Feet'], [(64, 96), 'Feet'], [(112, 96), 'Hand'], [(120, 112), 'Hand'], [(104, 128), 'Hand'], [(72, 136), 'Hand'], [(96, 136), 'Hand'], [(40, 152), 'Finish'], [(48, 152), 'Finish'], [(140, 4), 'Feet'], [(116, 4), 'Feet']]"
🔥 🔥 LITNESS,BKBChicago,51,25,1,"[[(96, 24), 'Feet'], [(80, 40), 'Feet'], [(72, 48), 'Starting'], [(72, 56), 'Starting'], [(88, 64), 'Hand'], [(56, 80), 'Feet'], [(80, 80), 'Hand'], [(96, 88), 'Hand'], [(72, 96), 'Hand'], [(72, 120), 'Hand'], [(72, 136), 'Hand'], [(64, 152), 'Finish'], [(80, 152), 'Finish'], [(76, 4), 'Feet'], [(60, 4), 'Feet'], [(68, 20), 'Feet']]"
GrrrrrPOW!!!,jwilder,71,15,4,"[[(72, 8), 'Feet'], [(72, 56), 'Starting'], [(88, 88), 'Hand'], [(56, 104), 'Hand'], [(96, 128), 'Hand'], [(88, 144), 'Finish'], [(76, 60), 'Starting'], [(108, 60), 'Feet']]"
Wild wild west,alfyrmdzn,46,45,7,"[[(8, 24), 'Feet'], [(32, 48), 'Starting'], [(48, 64), 'Hand'], [(16, 80), 'Hand'], [(104, 88), 'Feet'], [(40, 96), 'Hand'], [(56, 112), 'Hand'], [(64, 128), 'Hand'], [(104, 136), 'Hand'], [(96, 144), 'Hand'], [(128, 152), 'Finish'], [(132, 100), 'Feet']]"
Harry Herpson High School,jwilder,99,30,3,"[[(40, 56), 'Starting'], [(48, 88), 'Hand'], [(56, 104), 'Hand'], [(80, 120), 'Hand'], [(64, 136), 'Hand'], [(72, 152), 'Finish'], [(36, 20), 'Feet'], [(28, 44), 'Feet'], [(28, 60), 'Feet'], [(44, 76), 'Feet']]"
Funky but Flows,GirthQuake,59,40,6,"[[(80, 16), 'Feet'], [(16, 24), 'Starting'], [(24, 24), 'Starting'], [(80, 32), 'Feet'], [(72, 48), 'Hand'], [(40, 56), 'Hand'], [(24, 64), 'Hand'], [(96, 72), 'Hand'], [(112, 80), 'Feet'], [(104, 104), 'Hand'], [(88, 112), 'Hand'], [(80, 144), 'Hand'], [(56, 152), 'Finish'], [(60, 4), 'Feet'], [(52, 4), 'Feet'], [(28, 4), 'Feet'], [(4, 4), 'Feet']]"
cross roads,BKBChicago,52,30,5,"[[(104, 40), 'Starting'], [(112, 72), 'Hand'], [(136, 80), 'Hand'], [(112, 104), 'Hand'], [(112, 112), 'Hand'], [(96, 128), 'Hand'], [(72, 152), 'Finish'], [(124, 4), 'Feet'], [(76, 4), 'Feet'], [(140, 28), 'Feet'], [(92, 44), 'Starting'], [(92, 60), 'Feet'], [(124, 60), 'Feet']]"
oh la vache,maxlenail,181,5,2,"[[(72, 8), 'Feet'], [(72, 40), 'Starting'], [(80, 80), 'Hand'], [(96, 96), 'Hand'], [(80, 120), 'Hand'], [(88, 144), 'Hand'], [(56, 152), 'Finish'], [(68, 52), 'Feet'], [(52, 84), 'Feet']]"
beta Boulder,beta,91,20,0,"[[(72, 8), 'Feet'], [(64, 32), 'Feet'], [(112, 40), 'Starting'], [(96, 48), 'Starting'], [(56, 56), 'Feet'], [(48, 72), 'Feet'], [(104, 72), 'Hand'], [(80, 80), 'Hand'], [(88, 80), 'Hand'], [(56, 88), 'Feet'], [(80, 96), 'Hand'], [(72, 112), 'Hand'], [(56, 128), 'Hand'], [(72, 136), 'Finish'], [(100, 4), 'Feet'], [(76, 28), 'Feet']]"
Getting To Know Ya,ethang,56,30,8,"[[(104, 48), 'Starting'], [(80, 80), 'Hand'], [(104, 96), 'Hand'], [(64, 136), 'Hand'], [(112, 152), 'Finish'], [(108, 4), 'Feet'], [(116, 68), 'Feet']]"
drats,BKBChicago,98,15,6,"[[(32, 32), 'Starting'], [(16, 56), 'Starting'], [(80, 120), 'Hand'], [(88, 144), 'Finish'], [(28, 4), 'Feet'], [(4, 20), 'Feet'], [(60, 28), 'Feet'], [(60, 44), 'Feet'], [(84, 52), 'Feet'], [(44, 76), 'Hand'], [(108, 76), 'Feet'], [(52, 100), 'Hand'], [(84, 100), 'Hand']]"
Old Färt,nikephoros,43,45,3,"[[(48, 48), 'Starting'], [(80, 48), 'Starting'], [(80, 64), 'Hand'], [(104, 72), 'Hand'], [(88, 96), 'Hand'], [(104, 112), 'Hand'], [(104, 128), 'Hand'], [(120, 136), 'Hand'], [(136, 152), 'Finish'], [(76, 4), 'Feet'], [(44, 4), 'Feet'], [(84, 36), 'Feet'], [(100, 36), 'Feet'], [(84, 52), 'Feet'], [(76, 60), 'Feet'], [(100, 84), 'Feet'], [(100, 100), 'Feet']]"
민영이 보강,dong___hyun___,136,40,10,"[[(104, 32), 'Starting'], [(80, 64), 'Hand'], [(40, 96), 'Hand'], [(72, 104), 'Hand'], [(32, 136), 'Hand'], [(8, 152), 'Finish'], [(84, 4), 'Feet']]"
gravity,beachesrockgym,68,20,5,"[[(32, 32), 'Starting'], [(64, 40), 'Starting'], [(56, 48), 'Hand'], [(96, 80), 'Hand'], [(88, 104), 'Hand'], [(64, 120), 'Hand'], [(56, 144), 'Hand'], [(72, 152), 'Finish'], [(76, 4), 'Feet'], [(36, 4), 'Feet'], [(44, 28), 'Feet'], [(100, 36), 'Feet'], [(92, 60), 'Hand'], [(52, 68), 'Feet']]"
cross finger cracker,yann_beliveau,44,15,5,"[[(88, 16), 'Feet'], [(64, 32), 'Starting'], [(96, 40), 'Hand'], [(120, 64), 'Hand'], [(104, 88), 'Feet'], [(96, 96), 'Hand'], [(120, 104), 'Hand'], [(96, 120), 'Hand'], [(72, 136), 'Hand'], [(56, 152), 'Finish'], [(60, 4), 'Feet'], [(44, 4), 'Feet'], [(44, 28), 'Starting'], [(124, 44), 'Feet'], [(92, 60), 'Feet'], [(68, 84), 'Feet'], [(116, 100), 'Feet'], [(44, 108), 'Feet'], [(84, 116), 'Hand']]"
